seed,accuracy,loss
1728035642,0.714795008912656,10.674622535705566
1728035648,0.7540106951871658,2.1641292572021484
1728035653,0.7308377896613191,2.662623167037964
1728035658,0.750445632798574,3.7422587871551514
1728035661,0.7415329768270945,5.725589275360107
1728035665,0.7593582887700535,2.7249691486358643
1728035669,0.7254901960784313,5.61945104598999
1728035674,0.7361853832442068,8.092395782470703
1728035678,0.7201426024955436,34.0139045715332
1728035682,0.750445632798574,4.83392333984375
1728035686,0.7272727272727273,5.668213844299316
1728035690,0.7254901960784313,3.0971221923828125
1728035694,0.7379679144385026,3.170022964477539
1728035698,0.7397504456327986,3.139031171798706
1728035708,0.714795008912656,4.1092939376831055
1728035712,0.732620320855615,2.148026943206787
1728035715,0.7379679144385026,3.0479488372802734
1728035719,0.6987522281639929,3.172105550765991
1728035723,0.6720142602495544,2.342895269393921
1728035728,0.7450980392156863,4.989396095275879
