seed,accuracy,loss
1728035543,0.7272727272727273,18.143444061279297
1728035547,0.732620320855615,14.468937873840332
1728035551,0.7165775401069518,12.364898681640625
1728035554,0.7112299465240641,14.582950592041016
1728035557,0.7254901960784313,21.189788818359375
1728035561,0.7272727272727273,15.382848739624023
1728035564,0.7201426024955436,17.73937225341797
1728035567,0.7272727272727273,6.449560165405273
1728035571,0.7450980392156863,14.107030868530273
1728035574,0.7023172905525846,31.437145233154297
1728035577,0.7237076648841355,15.30278491973877
1728035580,0.7112299465240641,21.33414649963379
1728035583,0.7165775401069518,18.613704681396484
1728035587,0.7201426024955436,23.30219268798828
1728035592,0.7201426024955436,21.001924514770508
1728035596,0.7361853832442068,8.241336822509766
1728035599,0.7201426024955436,13.021687507629395
1728035602,0.7183600713012478,10.424701690673828
1728035606,0.7165775401069518,20.710784912109375
1728035609,0.7272727272727273,23.248933792114258
