seed,accuracy,loss
1728021740,0.696969696969697,22.79184341430664
1728021743,0.7254901960784313,10.891928672790527
1728021747,0.7201426024955436,9.56614875793457
1728021750,0.7344028520499108,14.246855735778809
1728021753,0.6862745098039216,20.66207504272461
1728021756,0.7058823529411765,19.773326873779297
1728021759,0.7361853832442068,13.809405326843262
1728021763,0.7165775401069518,9.261667251586914
1728021766,0.7130124777183601,12.146349906921387
1728021769,0.732620320855615,15.798420906066895
1728021774,0.7219251336898396,13.268562316894531
1728021777,0.7290552584670231,14.12780475616455
1728021780,0.732620320855615,9.78059196472168
1728021783,0.7272727272727273,8.34631061553955
1728021787,0.7557932263814616,15.2515287399292
1728021791,0.7254901960784313,29.672922134399414
1728021794,0.7219251336898396,15.67228889465332
1728021798,0.7361853832442068,19.96211051940918
1728021801,0.7219251336898396,17.49765396118164
1728021804,0.7290552584670231,16.5380859375
